id,value
AFG,82.0
AGO,119.0
ALB,453.0
AND,81.0
ARE,2132.0
ARG,1469.0
ARM,185.0
ATG,18.0
AUS,2312.0
AZE,191.0
BDI,11.0
BEN,52.0
BFA,45.0
BGD,657.0
BHR,333.0
BHS,68.0
BIH,956.0
BLR,756.0
BLZ,88.0
BOL,195.0
BRA,2716.0
BRB,51.0
BRN,59.0
BTN,30.0
BWA,30.0
CAF,16.0
CAN,3543.0
CHE,3530.0
CHL,1104.0
CHN,4798.0
CHT,3560.0
CIV,166.0
CMR,147.0
COD,79.0
COG,91.0
COL,1012.0
COM,7.0
CPV,37.0
CRI,552.0
CUB,103.0
DJI,25.0
DMA,40.0
DOM,563.0
DZA,226.0
ECU,388.0
EEC,4922.0
EGY,1385.0
ETH,191.0
FJI,143.0
GAB,77.0
GEO,250.0
GHA,313.0
GIN,55.0
GMB,26.0
GNB,13.0
GNQ,40.0
GRD,12.0
GTM,480.0
GUY,62.0
HKG,2787.0
HND,349.0
HTI,106.0
IDN,2538.0
IND,3849.0
IRN,577.0
IRQ,97.0
ISL,361.0
ISR,1969.0
JAM,118.0
JOR,577.0
JPN,3929.0
KAZ,763.0
KEN,372.0
KGZ,98.0
KHM,417.0
KNA,25.0
KOR,3701.0
KWT,340.0
LAO,185.0
LBN,623.0
LBR,34.0
LBY,131.0
LCA,17.0
LKA,813.0
LSO,42.0
MAC,209.0
MAR,1247.0
MDA,459.0
MDG,311.0
MDV,32.0
MEX,3016.0
MKD,607.0
MLI,43.0
MMR,383.0
MNE,104.0
MNG,104.0
MOZ,167.0
MRT,81.0
MUS,385.0
MWI,69.0
MYS,2679.0
NAM,106.0
NER,39.0
NGA,263.0
NIC,211.0
NOR,2268.0
NPL,273.0
NZL,1669.0
OMN,401.0
PAK,1161.0
PAN,289.0
PER,901.0
PHL,1574.0
PNG,142.0
PRY,274.0
QAT,278.0
RUS,2209.0
RWA,23.0
SAU,953.0
SDN,
SEN,181.0
SGP,2638.0
SLB,40.0
SLE,54.0
SLV,342.0
SRB,1597.0
STP,5.0
SUR,90.0
SWZ,167.0
SYC,45.0
SYR,201.0
TCD,18.0
TGO,68.0
THA,3076.0
TJK,51.0
TON,13.0
TTO,131.0
TUN,1311.0
TUR,3423.0
TZA,235.0
UGA,107.0
UKR,2029.0
URY,551.0
USA,4813.0
UZB,291.0
VCT,13.0
VEN,209.0
VNM,2503.0
VUT,34.0
WSM,29.0
YEM,125.0
ZAF,1984.0
ZMB,142.0
ZWE,190.0
